,Year/Month,Diseases,Case number,Disease_cn,Disease_en
275,2016-09-01,白喉 Diphtheria,0,白喉,Diphtheria
276,2016-10-01,白喉 Diphtheria,1,白喉,Diphtheria
277,2016-11-01,白喉 Diphtheria,1,白喉,Diphtheria
278,2016-12-01,白喉 Diphtheria,0,白喉,Diphtheria
279,2017-01-01,白喉 Diphtheria,0,白喉,Diphtheria
280,2017-02-01,白喉 Diphtheria,0,白喉,Diphtheria
281,2017-03-01,白喉 Diphtheria,0,白喉,Diphtheria
282,2017-04-01,白喉 Diphtheria,0,白喉,Diphtheria
283,2017-05-01,白喉 Diphtheria,0,白喉,Diphtheria
284,2017-06-01,白喉 Diphtheria,0,白喉,Diphtheria
285,2017-07-01,白喉 Diphtheria,0,白喉,Diphtheria
286,2017-08-01,白喉 Diphtheria,0,白喉,Diphtheria
287,2017-09-01,白喉 Diphtheria,0,白喉,Diphtheria
288,2017-10-01,白喉 Diphtheria,0,白喉,Diphtheria
289,2017-11-01,白喉 Diphtheria,0,白喉,Diphtheria
290,2017-12-01,白喉 Diphtheria,0,白喉,Diphtheria
291,2018-01-01,白喉 Diphtheria,0,白喉,Diphtheria
292,2018-02-01,白喉 Diphtheria,0,白喉,Diphtheria
293,2018-03-01,白喉 Diphtheria,0,白喉,Diphtheria
294,2018-04-01,白喉 Diphtheria,0,白喉,Diphtheria
295,2018-05-01,白喉 Diphtheria,0,白喉,Diphtheria
296,2018-06-01,白喉 Diphtheria,1,白喉,Diphtheria
297,2018-07-01,白喉 Diphtheria,0,白喉,Diphtheria
298,2018-08-01,白喉 Diphtheria,0,白喉,Diphtheria
299,2018-09-01,白喉 Diphtheria,0,白喉,Diphtheria
300,2018-10-01,白喉 Diphtheria,0,白喉,Diphtheria
301,2018-11-01,白喉 Diphtheria,0,白喉,Diphtheria
302,2018-12-01,白喉 Diphtheria,0,白喉,Diphtheria
303,2019-01-01,白喉 Diphtheria,0,白喉,Diphtheria
304,2019-02-01,白喉 Diphtheria,0,白喉,Diphtheria
305,2019-03-01,白喉 Diphtheria,0,白喉,Diphtheria
306,2019-04-01,白喉 Diphtheria,0,白喉,Diphtheria
307,2019-05-01,白喉 Diphtheria,0,白喉,Diphtheria
308,2019-06-01,白喉 Diphtheria,0,白喉,Diphtheria
309,2019-07-01,白喉 Diphtheria,0,白喉,Diphtheria
310,2019-08-01,白喉 Diphtheria,0,白喉,Diphtheria
311,2019-09-01,白喉 Diphtheria,0,白喉,Diphtheria
312,2019-10-01,白喉 Diphtheria,0,白喉,Diphtheria
313,2019-11-01,白喉 Diphtheria,0,白喉,Diphtheria
314,2019-12-01,白喉 Diphtheria,0,白喉,Diphtheria
315,2020-01-31,白喉 Diphtheria,0,白喉,Diphtheria
316,2020-02-29,白喉 Diphtheria,0,白喉,Diphtheria
317,2020-03-31,白喉 Diphtheria,0,白喉,Diphtheria
318,2020-04-01,白喉 Diphtheria,0,白喉,Diphtheria
319,2020-05-01,白喉 Diphtheria,0,白喉,Diphtheria
320,2020-06-01,白喉 Diphtheria,0,白喉,Diphtheria
321,2020-07-01,白喉 Diphtheria,0,白喉,Diphtheria
322,2020-08-01,白喉 Diphtheria,1,白喉,Diphtheria
323,2020-09-01,白喉 Diphtheria,1,白喉,Diphtheria
324,2020-10-01,白喉 Diphtheria,0,白喉,Diphtheria
325,2020-11-01,白喉 Diphtheria,0,白喉,Diphtheria
326,2020-12-01,白喉 Diphtheria,0,白喉,Diphtheria
327,2021-01-31,白喉 Diphtheria,0,白喉,Diphtheria
328,2021-02-28,白喉 Diphtheria,0,白喉,Diphtheria
329,2021-03-31,白喉 Diphtheria,0,白喉,Diphtheria
330,2021-04-30,白喉 Diphtheria,0,白喉,Diphtheria
331,2021-05-31,白喉 Diphtheria,0,白喉,Diphtheria
332,2021-06-30,白喉 Diphtheria,0,白喉,Diphtheria
333,2021-07-31,白喉 Diphtheria,1,白喉,Diphtheria
334,2021-08-31,白喉 Diphtheria,0,白喉,Diphtheria
335,2021-09-30,白喉 Diphtheria,0,白喉,Diphtheria
336,2021-10-31,白喉 Diphtheria,0,白喉,Diphtheria
337,2021-11-30,白喉 Diphtheria,0,白喉,Diphtheria
338,2021-12-31,白喉 Diphtheria,0,白喉,Diphtheria
339,2022-01-31,白喉 Diphtheria,0,白喉,Diphtheria
340,2022-02-28,白喉 Diphtheria,0,白喉,Diphtheria
341,2022-03-31,白喉 Diphtheria,0,白喉,Diphtheria
342,2022-04-30,白喉 Diphtheria,0,白喉,Diphtheria
343,2022-05-31,白喉 Diphtheria,0,白喉,Diphtheria
